Chapter_Shloka_id,Subject,Predicate,Object
BG_10_28,dadhicyasthisambhavam,is,dhenunam
BG_10_28,dogdhrinam,is,asmi
BG_10_28,kamadhuk,is,vasisthasya
BG_10_28,sarvakamanam,is,dogdhri
BG_10_28,samanya,is,va kamadhuk
BG_10_28,prajanah,is,prajanayita
BG_10_28,kandarpah,is,kamah
BG_10_28,sarpanam,is,sarpabhedanam
BG_10_28,vasukih,is,sarparajah
BG_10_29,pitrnamaryama,is,casmi
BG_10_29,yamah,is,samyamatamaham
BG_10_29,anantasca,is,asmi
BG_10_29,naganam,is,nagavisesanam
BG_10_29,nagarajasca,is,asmi
BG_10_29,varuno,is,yadasam
BG_10_29,abdevatanam,is,raja
BG_10_29,pitrnam,is,aryama
BG_10_29,aryama,is,pitrrajasca
BG_10_29,yamah,is,samyamatam
BG_10_29,samyamatam,is,samyamanam
BG_10_29,samyamanam,is,kurvatam
BG_10_30,mrganam,is,ca mrgendro'ham
BG_10_30,vainateyasca,is,paksinam
BG_10_30,prahlado,is,nama
BG_10_30,asmi,is,daityanam
BG_10_30,ditivamsyanam,is,kalah
BG_10_30,kalah,is,kalayatam
BG_10_30,kalanam,is,gananam
BG_10_30,gananam,is,kurvatam
BG_10_30,mrganam,is,ca mrgendrah
BG_10_30,mrgendrah,is,simho
BG_10_30,vyaghro,is,va aham
BG_10_30,vainateyasca,is,garutman
BG_10_30,vinatasutah,is,paksinam
BG_10_30,patatrinam,is,asmi
BG_10_31,I,am,the ocean of the universe
BG_10_31,I,am,the source of all beings
BG_10_31,I,am,the Ganga among the rivers
BG_10_32,I,am,the knowledge of the Self
BG_10_32,I,am,the principle of action
BG_10_33,I,am,the imperishable time
BG_10_33,I,am,the face of all the worlds
BG_10_34,I,am,the excellent among women
BG_10_35,I,am,the spring among the seasons
BG_10_35,I,am,the Gayatri meter among the meters
BG_10_36,sattva,is,sattvavatam
BG_10_36,duty,is,aksadevanadilaksanam
BG_10_36,movement,is,chalayatam
BG_10_36,exertion,is,kartrnam
BG_10_36,brightness,is,tejasvinam
BG_10_36,victory,is,jayah
BG_10_36,conquest,is,jetrnam
BG_10_36,enterprise,is,vyavasayah
BG_10_36,enterpriser,is,vyavasayinam
BG_10_36,goodness,is,sattvavatam
BG_10_36,good,is,sattvikanam
BG_10_37,mind,is,kavinam
BG_10_37,senses,is,usana
BG_10_37,seer,is,kavih
BG_10_38,knowledge,is,jnanavatam
BG_10_38,punishment,is,dandah
BG_10_38,restraint,is,damayatam
BG_10_38,restrainer,is,damayitrnam
BG_10_38,pacifier,is,adantanam
BG_10_38,pacification,is,damanakaranam
BG_10_38,truth,is,nitih
BG_10_38,conquest,is,jigasatam
BG_10_38,victory,is,jetumicchatam
BG_10_38,silence,is,maunam
BG_10_38,mystery,is,guhyanam
BG_10_38,secrecy,is,gopyanam
BG_10_38,knowledge,is,jnanavatam
BG_10_39,seed,is,bhutam
BG_10_39,movement,is,caracaram
BG_10_39,form,is,acaram
BG_10_39,seed,is,bhutam
BG_10_39,seed,is,caracaram
BG_10_39,form,is,acaram
BG_10_39,illusion,is,maya
BG_10_39,existence,is,bhavet
BG_10_39,void,is,niratmakam
BG_10_39,sunyam,is,hi tat
BG_10_39,everything,is,sarvam
BG_10_40,divine,is,vibhutervistaro
BG_10_40,extent,is,maya
BG_10_41,You,realize,My radiant power
BG_10_41,You,realize,My radiant power
BG_10_42,I,pervade,This entire universe
BG_10_8,I,pervade,This entire universe
BG_11_1,yattvayoktam vacastena,moho'yam vigato,mama
BG_11_1,madanugrahaya,mamanugrahartham,paramam niratisayam guhyam gopyam adhyatmasamjnitam atmanatmavivekavisayam
BG_11_1,yat tvaya uktam vacah vakyam,tena te vacasa mohah ayam vigatah,mama
BG_11_1,avivekabuddhih apagata,ityarthah,mama
BG_11_2,tvattah,kamalapatraksa mahatmyamapi cavyayam,mahatmanah
BG_11_2,bhavah utpattih apyayah pralayah,tau bhavapyayau hi bhutanam,srutau vistarasah maya
BG_11_2,tvattah tvatsakasat,kamalapatraksa,kamalapatraksa
BG_11_2,kamalapatraksa,kamalasya patram,kamalapatram
BG_11_2,tadvat aksini,yasya tava sa,tvam kamalapatraksah
BG_11_2,he kamalapatraksa,mahatmanah bhavah mahatmyamapi ca,avyayam aksayam 'srutam'
BG_11_3,drastumicchami,te rupamaisvaram purusottama,aisvaram
BG_11_3,evametat nanyatha,yatha yena prakarena attha kathayasi,tvam atmanam paramesvara
BG_11_3,tathapi,drastumicchami,te tava jnanaisvaryasaktibalaviryatejobhih sampannam aisvaram vaisnavam rupam purusottama
BG_11_4,yogesvara,tato me tvam darsayatmanamavyayam,atmanam avyayam
BG_11_4,manyase,cintayasi,yadi maya arjunena tat sakyam drastum
BG_11_4,prabho,svamin,yogesvara
BG_11_4,yogesvara,yogino yogah,tesam isvarah yogesvarah
BG_11_4,yasmat aham ativa arthi drastum,tatah tasmat me madartham darsaya,tvam atmanam avyayam
BG_11_5,nanavidhani divyani,nanavarnakrtini ca,rupani satasah atha sahasrasah anekasah
BG_11_5,pasya me partha,rupani satasah atha sahasrasah anekasah,tani ca nanavidhani anekaprakarani divi bhavani divyani aprakrtani nanavarnakrtini ca nana vilaksanah nilapitadiprakarah varnah tatha akrtayasca avayavasamsthanavisesah yesam rupanam
BG_11_6,Bharata,saw,wondrous things
BG_11_6,Bharata,saw,twelve Adityas
BG_11_6,Bharata,saw,seven Vasus
BG_11_6,Bharata,saw,eleven Rudras
BG_11_6,Bharata,saw,two Ashwins
BG_11_6,Bharata,saw,seven Maruts
BG_11_6,Bharata,saw,many other wondrous things
BG_11_6,Bharata,saw,humans
BG_11_6,Bharata,saw,others
BG_11_6,Bharata,saw,wondrous things
BG_11_7,Krishna,offers,divine eye
BG_11_7,Krishna,explain,entire universe
BG_11_7,Krishna,explain,unmanifested and manifest
BG_11_7,Krishna,explain,by direct and indirect
BG_11_8,Krishna,offers,divine eye
BG_11_8,Krishna,is not possible to see,universal form with own eyes
BG_11_8,Krishna,offers,divine eye
BG_11_8,Krishna,is,divine power
BG_11_8,Krishna,is,divine power
BG_11_9,Krishna,showed,universal form
BG_11_10,Krishna's form,has,many faces and eyes
BG_11_10,Krishna's form,has,many wondrous sights
BG_11_10,Krishna's form,has,many divine ornaments
BG_11_10,Krishna's form,has,many divine weapons
BG_11_11,sarvascaryamayam,is,devamanantam
BG_11_11,devamanantam,has,visvatomukham
BG_11_11,divyamalyambaradharam,is,divyani malyani
BG_11_11,divyani malyani,includes,puspani
BG_11_11,divyani malyani,includes,ambarani
BG_11_11,divyani malyani,includes,vastrani
BG_11_11,divyam gandhanulepanam,is,divyam gandhanulepanam
BG_11_11,sarvascaryamayam,is,sarvascaryaprayam
BG_11_11,devam,is,anantam
BG_11_11,anantam,has no end,asti
BG_11_11,visvatomukham,is,sarvatomukham
BG_11_11,sarvatomukham,is,sarvabhutatmabhutatvat
BG_11_11,Arjunah,saw,tam
BG_11_12,bhah,is similar to,sadrsi
BG_11_12,sadrsi,is,mahatmanah
BG_11_12,sahasram suryasahasram,is,yugapadutthitasya
BG_11_12,yugapadutthita bhah,is similar to,sadrsi
BG_11_12,bhah,is,visvarupasyaiva
BG_11_12,bhah,exceeds,visvarupasyaiva
BG_11_13,pandavah,saw,devadevasya
BG_11_13,jagat,is situated in,visvarupe
BG_11_13,jagat,is divided,devapitrmanusyadibhedaih
BG_11_14,Dhananjayah,saw,tam
BG_11_14,Dhananjayah,was filled with,vismayena
BG_11_14,hrstani romani,belong to,yasya
BG_11_14,ayam,has,hrstaroma
BG_11_14,Dhananjayah,bowed,sirasa
BG_11_14,Dhananjayah,prayed,krtanjalih
BG_11_15,Brahman,is,chaturmukham
BG_11_15,Isam,is,itaram
BG_11_15,prajanam,is,kamalasanastham
BG_11_15,prithivipadmamadhye,is,merukarnikasanastham
BG_11_15,rsimsca,is,vasisthadin
BG_11_15,uragamsca,is,vasukiprabhrtin
BG_11_15,divyan,is,divi bhavan
BG_11_16,Arjuna,sees,Krishna as Vishvarupa
BG_11_16,Krishna,has,countless faces
BG_11_16,Krishna,has,countless arms
BG_11_16,Krishna,has,countless eyes
BG_11_16,Krishna,is,formless
BG_11_16,Krishna,is,infinite forms
BG_11_16,Krishna,has,no beginning
BG_11_16,Krishna,has,no middle
BG_11_16,Krishna,has,no end
BG_11_16,Krishna,is,beyond the two extremes
BG_11_17,Arjuna,sees,Krishna as durniriksya
BG_11_17,Krishna,has,crowns
BG_11_17,Krishna,has,maces
BG_11_17,Krishna,has,discs
BG_11_17,Krishna,has,radiance
BG_11_17,Krishna,is,difficult to see
BG_11_17,Krishna,is,all-pervading light
BG_11_17,Krishna,is,immeasurable
BG_11_18,Arjuna,believes,Krishna is eternal
BG_11_18,Krishna,is,imperishable
BG_11_18,Krishna,is,the supreme truth
BG_11_18,Krishna,is,the protector of dharma
BG_11_18,Krishna,is,eternal
BG_11_18,Krishna,is,the greatest
BG_11_19,Arjuna,sees,Krishna as diptahutasavaktram
BG_11_19,Krishna,has,"no beginning, middle, or end"
BG_11_19,Krishna,has,infinite power
BG_11_19,Krishna,has,infinite arms
BG_11_19,Krishna,has,moon and sun as eyes
BG_11_19,Krishna,is,all-pervading radiance
BG_11_20,Krishna,pervades,the three worlds
BG_11_20,Krishna's form,is,wonderful
BG_11_20,Krishna's form,is,terrifying
BG_11_20,Krishna's form,is,terrible
BG_11_20,The three worlds,are,fearful and agitated
BG_11_21,stuvanti,stutibhih puskalabhih,tvam
BG_11_21,ami,hi yudhyamana yoddharah,tva
BG_11_21,tva,tvam surasanghah,atra bhubharavataraya avatirnah vasvadidevasanghah manusyasamsthanah
BG_11_21,tva,visanti pravisantah drsyante,tatra
BG_11_21,kecit,bhitah pranjalayah santo,grnanti
BG_11_21,tva,stuvanti,anye
BG_11_21,palayane'pi,asaktah santah,yuddhe
BG_11_21,pratyupasthite,upalaksya svasti astu jagatah,iti uktva
BG_11_21,maharsisiddhasanghah maharsinam siddhanam ca sanghah,stuvanti,tvam
BG_11_21,stutibhih puskalabhih,sampurnabhih,tvam
BG_11_22,viksante,vismitascaiva sarve,tvam
BG_11_22,"rudradityah vasavo ye ca sadhyah rudradayah ganah visvedevah asvinau ca devau marutasca usmapasca pitarah, gandharvayaksasurasiddhasanghah gandharvah hahahuhuprabhrtayah yaksah kuberaprabhrtayah asurah virocanaprabhrtayah siddhah kapiladayah tesam sanghah gandharvayaksasurasiddhasanghah",te viksante pasyanti tvam vismitah vismayamapannah santah te eva sarve,sarve
BG_11_23,drstva,lokah pravyathitastathaham,tam
BG_11_23,rupam,mahat atipramanam te tava bahuvaktranetram bahuni vaktrani mukhani netrani caksumsi ca yasmin tat rupam bahuvaktranetram,he mahabaho
BG_11_23,bahubahurupadam,bahavo bahavah uravah padasca yasmin rupe tat bahubahurupadam,bahubahurupadam
BG_11_23,bahudaram,bahuni udarani yasminniti bahudaram,bahudaram
BG_11_23,bahudamstrakaralam,bahvibhih damstrabhih karalam vikrtam tat bahudamstrakaralam,bahudamstrakaralam
BG_11_23,drstva,rupam idrsam lokah laukikah praninah pravyathitah pracalitah bhayena,tam
BG_11_23,ahamapi,pravyathitantaratma,prabhitah antaratma manah
BG_11_24,dhrtim,na vindami samam ca visno,upasamanam manastustim
BG_11_24,nabhahsprsam,"dyusparsam ityarthah, diptam prajvalitam , anekavarnam aneke varnah bhayankarah nanasamsthanah yasmin tvayi tam tvam anekavarnam",tam
BG_11_24,vyattananam,vyattani vivrtani ananani mukhani yasmin tvayi tam tvam vyattananam,tam
BG_11_24,diptavisalanetram,diptani prajvalitani visalani vistirnani netrani yasmin tvayi tam tvam diptavisalanetram,tam
BG_11_24,drstva,hi tvam pravyathitantaratma pravyathitah prabhitah antaratma manah yasya mama sah aham pravyathitantaratma san dhrtim dhairyam na vindami na labhe samam ca upasamanam manastustim he visno,tam
BG_11_25,prasida,devesa jagannivasa,"he devesa, jagannivasa"
BG_11_25,damstrakaralani,damstrabhih karalani vikrtani te tava mukhani drstvaiva upalabhya kalanalasamnibhani pralayakale lokanam dahakah agnih kalanalah tatsadrsani kalanalasamnibhani mukhani drstvetyetat,disah purvaparavivekena na jane dinmudho jatah asmi
BG_11_25,atah,na labhe ca na upalabhe ca sarma sukham,atah
BG_11_26,sahasmadyairah,are,yodhamukhyaih
BG_11_26,ami,am,tvam
BG_11_26,ami,am,dhrtarasya putrah
BG_11_26,duryodhanaprabhrtayah,are,tvaramanah
BG_11_26,tvaramanah,visanti,iti
BG_11_26,vyavahitena,is,sambandhah
BG_11_26,sarve,are,sahaiva
BG_11_26,sahitah,are,avanipalasanghaih
BG_11_26,avanipalah,palayanti,avanipalah
BG_11_26,tesam,are,sanghaih
BG_11_26,kinca,are,bhismo
BG_11_26,bhismo,is,dronah
BG_11_26,dronah,is,sutaputrah
BG_11_26,karnah,is,tatha
BG_11_26,asau,is,saha
BG_11_26,asmadiyairah,are,dhrstadyumnaprabhritibhih
BG_11_26,yodhamukhyaih,are,yodhanam
BG_11_26,yodhanam,are,mukhyaih
BG_11_26,yodhanam,are,pradhanaih
BG_11_27,sandrsyante,are,curnitaih
BG_11_27,uttamangaih,are,sirobhih
BG_11_27,vaktrani,are,mukhani
BG_11_27,tava,are,tvaramanah
BG_11_27,tvarayuktah,are,santah
BG_11_27,visanti,are,kim
BG_11_27,visistani,are,mukhani
BG_11_27,damstrakaralani,are,bhayankarani
BG_11_27,bhayanakani,are,kinc
BG_11_27,mukhani,are,pravistanam
BG_11_27,mukhani,are,vilagnah
BG_11_27,mukhani,are,dasanantaresu
BG_11_27,mamsamiva,are,bhaksitam
BG_11_27,sandrsyante,are,upalabhyante
BG_11_27,curnitaih,are,curnikrtaih
BG_11_27,uttamangaih,are,sirobhih
BG_11_28,visanti,are,vaktranyabhivijvalanti
BG_11_28,yatha,is,nadinam
BG_11_28,sravantinam,are,bahavah
BG_11_28,aneke,are,ambunam
BG_11_28,vegah,are,ambuvegah
BG_11_28,tvaravisesah,are,samudrameva
BG_11_28,abhimukhah,are,pratimukhah
BG_11_28,dravanti,are,pravisanti
BG_11_28,tadvat,is,tava
BG_11_28,ami,are,bhismadayah
BG_11_28,naralokavirah,are,manusyaloke
BG_11_28,surah,are,visanti
BG_11_28,vaktrani,are,abhivijvalanti
BG_11_28,prakasamanani,are,tejobhih
BG_11_29,tathaiva,are,nasaya
BG_11_29,visanti,are,lokastavapi
BG_11_29,vaktrani,are,samrddhavegah
BG_11_29,yatha,is,pradiptam
BG_11_29,jvalanam,is,agnim
BG_11_29,patangah,are,paksinah
BG_11_29,visanti,are,nasaya
BG_11_29,vinasaya,are,samrddhavegah
BG_11_29,samrddhah,is,udbhutah
BG_11_29,vegah,are,yesam
BG_11_29,te,are,samrddhavegah
BG_11_29,tathaiva,are,nasaya
BG_11_29,visanti,are,lokah
BG_11_29,praninah,are,tavapi
BG_11_29,vaktrani,are,samrddhavegah
BG_11_30,tejobhirapurya,are,jagatsamagram
BG_11_30,bhasastavograh,are,pratapanti
BG_11_30,visno,are,tejobhih
BG_11_30,lelihyase,are,asvadayasi
BG_11_30,grasamanah,are,antah
BG_11_30,pravesayan,are,samantat
BG_11_30,samantatah,are,lokan
BG_11_30,samagran,are,samastan
BG_11_30,vadanaih,are,vaktraih
BG_11_30,jvaladbhih,are,dipyamanaih
BG_11_30,tejobhih,are,apurya
BG_11_30,samvyapya,are,jagat
BG_11_30,samagram,are,saha
BG_11_30,agrena,are,samastam
BG_11_30,ityetat,is,kinc
BG_11_30,bhasah,are,diptayah
BG_11_30,tava,are,ugrah
BG_11_30,kruarah,are,pratapanti
BG_11_30,pratapam,are,kurvanti
BG_11_30,he,are,visno
BG_11_30,vyapanasila,are,pratapanti
BG_11_31,I,want to know,You
BG_11_31,I,do not know,Your nature
BG_11_31,I,do not know,Your activities
BG_11_32,All the warriors arrayed in the opposing ranks,will not live,even without You
BG_11_32,I,am the mighty destroyer of worlds,worlds
BG_11_32,I,have come to this world,to destroy
BG_11_32,I,am engaged in this battle,for this purpose
BG_11_32,All those warriors arrayed in the opposing ranks,will not live,even without You
BG_11_33,You,are only the cause,the instrument
BG_11_34,You,fight,"as you please in battle, O enemy of the enemy"
BG_11_35,Dhritarashtra,thinks,Duryodhana is slain
BG_11_35,Dhritarashtra,desires,peace
BG_11_35,Dhritarashtra,does not send,message
BG_11_36,siddhasanghah,namasyanti,sarve
BG_11_36,Hrsikesa,prakirttanena,shruta
BG_11_36,jagat,prahrsyati,praharsam
BG_11_36,Bhagavan,yuktam,sthane
BG_11_36,raksamsi,dravanti,bhayavistani disah
BG_11_36,siddhasanghah,namaskurvanti,ca
BG_11_37,Brahmanah,adikartr,hiranyagarbhasya
BG_11_37,Hrsikesa,arhah,namaskarasya ca sthanam
BG_11_37,ananta,devesa,jagannivasa
BG_11_37,aksaram,sadasattatparam,yat
BG_11_38,adidevah,srastrtvat,jagatah
BG_11_38,purushah,puri,sayanat
BG_11_38,vetta,vedyam,ca
BG_11_38,param,dhama,tvaya
BG_11_38,visvam,vyaptam,tayata
BG_11_39,vayuh,tvam,yamasca
BG_11_39,agnih,tvam,varunah
BG_11_39,apam,patih,sasankah
BG_11_39,candramah,prajapatih,tvam
BG_11_39,kasyapadih,prapitamahasca,pitamahasyapi
BG_11_39,brahmano,pita,ityarthah
BG_11_40,anantaviryamitavikramah,tvam,anantam
BG_11_40,viryam,samarthyam,vikramah
BG_11_40,parakramah,tvam,anantaviryah
BG_11_40,sarvam,samaptosi,tato
BG_11_40,sarvasu,diksu,sarvatra
BG_11_40,anantaviryamitavikramah,tvam,sarvah
BG_11_41,Maya,causes delusion through,pramada (carelessness) and pranaya (affection)
BG_11_41,Krishna,is addressed as,"He Krishna, He Yadava, He friend"
BG_11_41,Ajnani,is deluded by,moha (illusion)
BG_11_41,Krishna's form,is described as,mahimanam (glory) and mahatmyam (greatness)
BG_11_41,Krishna,is the abode of,Isvara (the Lord)
BG_11_41,Maya,causes,vikshepata (distraction) in the mind
BG_11_41,Pranaya,is the cause of,visrambha (intimacy)
BG_11_41,Krishna,is the reason for,what has been spoken
BG_11_42,Krishna,is,aprameya (beyond comprehension)
BG_11_42,Krishna,forgives,all offenses
BG_11_42,Krishna,is present,in all activities (viharasayyasanabhojanas)
BG_11_42,Krishna,is not affected,by insults or mockery
BG_11_42,Krishna,forgives,"all offenses in the past, present, and future"
BG_11_43,Krishna,is the father and mother,of all beings in the three worlds
BG_11_43,Krishna,is the protector,of all beings
BG_11_43,Krishna,is the most superior,among all beings
BG_11_43,Krishna's power,is incomparable,in the three worlds
BG_11_43,Krishna,is the only lord,of all beings
BG_11_44,Krishna,is worthy of being propitiated,by the beloved
BG_11_44,Krishna,forgives,the offenses of his devotees
BG_11_44,Krishna,is the giver of boons,to his devotees
BG_11_44,Krishna,is the most excellent,among all beings
BG_11_45,Krishna,is the dweller,of all the worlds
BG_11_45,Krishna's form,was never seen before,by Arjuna
BG_11_45,Arjuna,was filled with joy,upon seeing Krishna's form
BG_11_45,Arjuna's mind,was filled with fear,upon seeing Krishna's form
BG_11_45,Krishna,is requested to,show his form again
BG_11_46,tenaiva rupena,is,caturbhujena sahasrabaho
BG_11_46,tenaiva rupena,is,vasvamurte
BG_11_46,Bhava,is,vasvamurte
BG_11_47,idam param rupam,is,visvarupam
BG_11_47,idam param rupam,is,atmayogat
BG_11_47,idam param rupam,is,atmanah aisvaryasya samarthyat
BG_11_47,idam param rupam,is,tejomayam tejahprayam
BG_11_47,idam param rupam,is,visvam samastam anantam antarahitam
BG_11_47,idam param rupam,is,adau bhavam adyam
BG_11_47,rupam me mama,is not seen before,tvadanyena tvattah anyena kenacit
BG_11_48,evamrupah,is,sakya
BG_11_48,evamrupah,is not,vedayajnadhyayanaih caturnamapi vedanam adhyayanaih
BG_11_48,evamrupah,is not,danaih tulapurusadibhih
BG_11_48,evamrupah,is not,kriyabhih agnihotradibhih srautadibhih
BG_11_48,evamrupah,is not,tapobhih ugraih candrayanadibhih ugraih ghoraih
BG_11_48,evamrupah,is,na sakyah aham nrloke
BG_11_49,tadeva me rupamidam,is,prapasya
BG_11_49,ma te vyatha,is,ma bhut te bhayam
BG_11_49,ma te vyatha,is,ma ca vimudhabhavah vimudhacittata
BG_11_49,idrk yathadarsitam mama idam,is,vyapetabhih vigatabhayah
BG_11_49,idrk yathadarsitam mama idam,is,pritamanasca san punah bhuyah tvam
BG_11_49,tadeva caturbhujam rupam,is,sankhacakragadadharam
BG_11_49,tava istam rupam idam,is,prapasya
BG_11_50,vasudevah,is,tathabhutam
BG_11_50,vasudevah,is,bhutva punahsaumyavapurmahatma
BG_11_51,I,am,sacetah prakrtim gatah
BG_11_51,I,am,prasannacittah
BG_11_51,I,am,sarvabhutesu
BG_11_51,I,am,sarvabhutabhava
BG_11_51,I,am,sacetah prasannacittah prakrtim svabhavam gatasca
BG_11_52,I,am,sudurdarsam
